Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
10211.241134226322,19,10,107
10231.224359095097,17,10,107
10251.207583963871,20,15,126
10271.190808832645,24,6,95
10291.17403370142,20,11,110
10311.157258570194,12,11,96
10331.140483438969,14,10,117
10351.123708307743,19,9,104
10371.106933176517,18,7,90
10391.090158045292,13,11,108
10411.073382914066,30,8,115
10431.05660778284,27,16,107
10451.039832651615,37,10,96
10471.02305752039,30,11,106
10491.006282389164,25,19,96
10510.989507257938,43,12,93
10530.972732126713,23,17,88
10550.955956995487,39,21,104
10570.939181864262,41,8,114
10590.922406733036,41,9,113
10610.90563160181,46,7,110
10630.888856470585,34,12,122
10650.87208133936,33,11,134
10670.855306208134,43,6,192
10690.838531076908,47,10,260
10710.821755945683,60,9,385
10730.804980814457,106,15,526
10750.788205683231,140,16,712
10770.771430552006,166,19,894
10790.75465542078,199,13,1252
10810.737880289555,220,16,1359
10830.721105158329,223,17,1463
10850.704330027103,250,22,1501
10870.687554895878,225,21,1484
10890.670779764652,203,16,1262
10910.654004633427,168,18,1093
10930.637229502201,122,16,825
10950.620454370975,98,17,544
10970.60367923975,66,11,436
10990.586904108524,53,13,332
11010.570128977299,49,10,255
11030.553353846073,47,14,183
11050.536578714848,46,8,152
11070.519803583622,46,10,142
11090.503028452396,35,15,115
11110.48625332117,25,9,116
11130.469478189945,34,11,99
11150.45270305872,45,5,113
11170.435927927494,35,12,135
11190.419152796268,43,12,116
11210.402377665043,42,9,180
11230.385602533817,47,10,192
11250.368827402592,53,17,223
11270.352052271366,66,15,331
11290.33527714014,111,11,373
11310.318502008915,90,25,480
11330.30172687769,122,14,522
11350.284951746464,127,9,553
11370.268176615238,112,17,598
11390.251401484013,125,21,572
11410.234626352787,126,28,511
11430.217851221561,92,26,426
11450.201076090336,95,26,362
11470.18430095911,93,35,297
11490.167525827885,73,21,220
11510.150750696659,59,19,148
11530.133975565434,50,18,136
11550.117200434208,56,15,120
11570.100425302982,48,11,124
11590.083650171757,51,20,137
11610.066875040531,64,18,147
11630.050099909306,79,17,246
11650.03332477808,94,14,323
11670.016549646854,148,17,518
