Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
12429.43093,79,6,164,,,,
12449.41416,112,5,146,,,,
12469.39738,113,9,166,,,,
12489.38061,102,7,148,,,,
12509.36383,111,2,151,,,,
12529.34706,102,11,144,,,,
12549.33028,105,4,181,,,,
12569.3135,100,5,201,,,,
12589.29673,118,3,193,,,,
12609.27995,136,13,243,,,,
12629.26318,159,12,338,,,,
12649.2464,209,8,492,,,,
12669.22963,273,13,716,,,,
12689.21285,345,18,1076,,,,
12709.19608,447,22,1560,,,,
12729.1793,568,23,2098,,,,
12749.16253,736,33,2677,,,,
12769.14575,780,33,3196,,,,
12789.12898,869,29,3598,,,,
12809.1122,954,43,3951,,,,
12829.09543,925,28,3846,,,,
12849.07865,912,38,3682,,,,
12869.06188,833,35,3323,,,,
12889.0451,674,32,2725,,,,
12909.02833,507,20,2115,,,,
12929.01155,384,11,1619,,,,
12948.99478,288,19,1149,,,,
12968.978,274,12,822,,,,
12988.96123,209,12,560,,,,
13008.94445,146,8,325,,,,
13028.92768,144,11,258,,,,
13048.9109,121,8,160,,,,
13068.89413,128,4,148,,,,
13088.87735,122,10,121,,,,
13108.86058,106,2,112,,,,
13128.8438,131,6,127,,,,
13148.82703,122,11,123,,,,
13168.81025,116,4,119,,,,
13188.79348,114,9,113,,,,
13208.7767,127,8,113,,,,
13228.75993,149,7,131,,,,
13248.74315,154,11,156,,,,
13268.72638,153,17,168,,,,
13288.7096,165,17,202,,,,
13308.69283,201,19,275,,,,
13328.67605,218,20,337,,,,
13348.65927,242,29,442,,,,
13368.6425,260,26,544,,,,
13388.62572,330,40,759,,,,
13408.60895,355,35,906,,,,
13428.59217,368,23,978,,,,
13448.5754,405,17,1138,,,,
13468.55862,416,26,1133,,,,
13488.54185,403,34,1121,,,,
13508.52507,354,19,1072,,,,
13528.5083,323,17,1009,,,,
13548.49152,315,11,860,,,,
13568.47475,282,14,666,,,,
13588.45797,255,4,502,,,,
13608.4412,209,5,377,,,,
13628.42442,182,7,234,,,,
13648.40765,154,10,180,,,,
13668.39087,136,7,159,,,,
13688.3741,126,11,104,,,,
13708.35732,137,12,97,,,,
13728.34055,155,1,68,,,,
13748.32377,104,4,66,,,,
13768.307,122,6,71,,,,
13788.29022,126,7,72,,,,
13808.27345,135,11,60,,,,
13828.25667,123,8,62,,,,
13848.2399,123,8,54,,,,
13868.22312,148,5,57,,,,
13888.20635,130,6,59,,,,
13908.18957,158,8,63,,,,
