Instrument,800N8573
Date,2023/02/23
Time,12:47:14
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.65s
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,0.21256723999977112,0.10640470683574677,0.46022316813468933
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
Detector Temperature,{'-27.5°C'}
Ambient Temperature,"{""51.33°C')""}"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
14687.882845789194,110,8,59
14707.866070657969,120,14,68
14727.849295526743,102,23,63
14747.832520395517,102,12,50
14767.815745264292,71,14,34
14787.798970133066,106,10,34
14807.78219500184,90,20,35
14827.765419870615,66,12,27
14847.74864473939,64,7,26
14867.731869608164,90,10,19
14887.715094476938,70,11,14
14907.698319345713,69,13,15
14927.681544214487,87,14,20
14947.664769083261,81,16,11
14967.647993952036,74,14,17
14987.63121882081,100,14,17
15007.614443689585,79,12,18
15027.59766855836,90,11,13
15047.580893427134,97,6,20
15067.564118295908,86,10,14
15087.547343164682,72,9,15
15107.530568033457,84,17,20
15127.513792902231,77,9,14
15147.497017771006,85,13,18
15167.48024263978,79,11,14
15187.463467508554,86,11,18
15207.446692377329,87,11,17
15227.429917246103,93,12,18
15247.413142114878,90,5,12
15267.396366983652,71,12,18
15287.379591852427,81,13,14
15307.362816721201,81,9,19
15327.346041589975,91,14,24
15347.32926645875,73,13,27
15367.312491327524,82,17,20
15387.295716196299,86,8,22
15407.278941065073,80,11,9
15427.262165933847,81,11,12
15447.245390802622,96,20,15
15467.228615671396,93,15,14
15487.21184054017,85,12,11
15507.195065408945,107,11,9
15527.17829027772,84,17,12
15547.161515146494,94,17,10
15567.144740015268,95,17,13
15587.127964884043,89,21,11
15607.111189752817,94,15,10
15627.094414621592,104,15,11
15647.077639490366,110,21,11
15667.06086435914,98,22,14
15687.044089227915,80,20,17
15707.02731409669,89,21,14
15727.010538965464,113,17,20
15746.993763834238,109,17,15
15766.976988703012,109,15,9
15786.960213571787,97,24,10
15806.943438440561,111,28,12
15826.926663309336,89,20,6
15846.90988817811,99,17,9
15866.893113046885,103,17,3
15886.876337915659,100,11,10
15906.859562784433,93,15,12
15926.842787653208,92,14,9
